DEPARTAMENTO;MUNICIPIO;CODIGO DANE;ARMAS MEDIOS;FECHA HECHO;GENERO;GRUPO ETARIO;CANTIDAD;DELITO
AMAZONAS;LETICIA ;91001;NO REPORTADO;20/10/2011;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;28/10/2011;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;27/01/2012;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;29/01/2012;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;01/02/2012;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;01/05/2012;MASCULINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;01/08/2012;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;09/02/2013;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;07/05/2013;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;07/05/2013;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;28/05/2013;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;10/06/2013;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;15/06/2013;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;06/08/2013;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA BLANCA CORTOPUNZANTE;08/11/2013;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;27/01/2014;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;22/03/2014;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;02/04/2014;FEMENINO;ADULTOS;2;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;22/04/2014;NO REPORTA;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;29/04/2014;NO REPORTA;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;04/05/2014;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;12/05/2014;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;20/05/2014;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;25/05/2014;FEMENINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;01/06/2014;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA BLANCA CORTOPUNZANTE;21/09/2014;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;04/11/2014;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;13/11/2014;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;25/12/2014;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;03/05/2015;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;23/07/2015;FEMENINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;09/08/2015;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;09/08/2015;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;15/12/2015;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;30/12/2015;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;25/01/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA BLANCA CORTOPUNZANTE;27/02/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;20/04/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;23/04/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;21/05/2016;MASCULINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;23/05/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;ARMA BLANCA CORTOPUNZANTE;03/07/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;07/08/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;15/08/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;05/09/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;01/10/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;25/11/2016;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;30/11/2016;MASCULINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;30/11/2016;MASCULINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;SIN EMPLEO DE ARMAS;16/12/2016;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;07/01/2017;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;09/01/2017;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;12/02/2017;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;03/03/2017;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;23/03/2017;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;05/05/2017;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ESCOPOLAMINA;05/05/2017;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;07/05/2017;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;19/05/2017;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;17/07/2017;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;10/08/2017;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;15/08/2017;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;24/08/2017;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;21/09/2017;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;24/10/2017;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;09/11/2017;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;29/12/2017;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;05/01/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;04/02/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;05/03/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;19/03/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;NO REPORTADO;24/03/2018;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;10/04/2018;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;01/05/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;03/05/2018;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;12/05/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;NO REPORTADO;14/05/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;21/05/2018;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;01/06/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;NO REPORTADO;21/06/2018;FEMENINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;30/07/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;23/08/2018;FEMENINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;23/08/2018;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA DE FUEGO;08/09/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;NO REPORTADO;13/09/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;NO REPORTADO;05/11/2018;MASCULINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;12/11/2018;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;14/12/2018;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA DE FUEGO;16/12/2018;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;24/01/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;27/01/2019;MASCULINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;01/02/2019;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;15/02/2019;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;19/02/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;08/03/2019;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;NO REPORTADO;12/04/2019;MASCULINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;16/04/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;24/04/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;04/05/2019;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;23/05/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;05/06/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;11/06/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;01/07/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;03/08/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;22/08/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;18/09/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;01/11/2019;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;24/11/2019;FEMENINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;28/12/2019;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;16/01/2020;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;01/03/2020;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;07/03/2020;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;07/03/2020;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;15/03/2020;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;04/07/2020;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;24/08/2020;FEMENINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;28/08/2020;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;02/09/2020;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;29/10/2020;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;15/03/2021;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;02/05/2021;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;31/10/2021;FEMENINO;ADOLESCENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;28/02/2021;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;27/09/2021;MASCULINO;ADOLESCENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;SIN EMPLEO DE ARMAS;08/12/2021;FEMENINO;ADOLESCENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA BLANCA CORTOPUNZANTE;05/02/2022;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA BLANCA CORTOPUNZANTE;01/03/2022;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA BLANCA CORTOPUNZANTE;15/03/2022;FEMENINO;ADOLESCENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA BLANCA CORTOPUNZANTE;31/07/2022;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;ARMA BLANCA CORTOPUNZANTE;11/05/2022;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;ARMA DE FUEGO;16/01/2022;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;09/08/2022;FEMENINO;ADOLESCENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;04/09/2022;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;11/08/2022;FEMENINO;ADOLESCENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;21/08/2022;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;09/01/2010;FEMENINO;ADULTOS;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;16/01/2010;FEMENINO;ADOLECENTES;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;06/04/2010;FEMENINO;ADULTOS;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;15/05/2010;FEMENINO;ADOLECENTES;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;16/05/2010;FEMENINO;ADULTOS;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;25/05/2010;FEMENINO;ADULTOS;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;03/07/2010;FEMENINO;ADULTOS;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;10/09/2010;FEMENINO;ADOLECENTES;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;02/11/2010;MASCULINO;ADULTOS;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;26/11/2010;FEMENINO;ADULTOS;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;19/12/2010;FEMENINO;ADULTOS;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;12/01/2011;MASCULINO;MENORES;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;14/02/2011;FEMENINO;ADOLECENTES;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;21/02/2011;FEMENINO;ADOLECENTES;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;26/02/2011;FEMENINO;ADULTOS;1;ARTICULO 206. ACTO SEXUAL VIOLENTO
